id_question_pivot;1;reponse_pivot
23;Comment faire pour avoir un hôtel avec une connexion internet (wifi) ? ;"Il y a des hôtels qui proposent une connexion internet wifi a ces clients, il suffit de choisir l'offre qui permet d'y accèder lors du choix du forfait et de l'hotel. Voici plusieurs sites comparateur d'hotel :  https://www.booking.com/ ; https://www.trivago.fr/. Cependant, il est important de noter que bien que certains hotel possede une connexion internet tous ne présente pas nécessairement une très bonne connexion. "
24;Est-ce qu'il y a la 4G à Bali ? ;Oui, vous pouvez avoir la 4G à Bali en passant par des forfaits téléphoniques proposés par des opérateurs. 
25;Est-ce qu'il y a des forfaits téléphoniques à Bali ?;Oui, cependant il est important de savoir qu'une nouvelle loi est entrée en vigueur en Indonésie en 2018 et requiert que toute carte Sim soit enregistrée avec une pièce d’identité auprès de l’opérateur. Il est donc conseillé d’acheter votre carte Sim à l’aéroport dès votre arrivée au stands officiels des opérateurs Telkomsel et XL  avec votre passeport, pour 150-300 000 roupies vous aurez un package incluant internet et appels. Si vous n’achetez pas votre carte à l’aéroport vous pouvez acheter en ville mais uniquement dans une boutique officielle TELKOMSEL ou XL car le risque d’acheter auprès d’un revendeur non officiel est que la Sim ne sera pas enregistrée avec votre passeport et donc risquera d’être bloquée sous quelques jours
26;Combien coûte une semaine de séjour en moyenne sur place ?;Pour un touriste un séjour de une semaine à Bali coute entre 600 et 800 euros, dépendant du nombre d'étoile de l'hotel dans lequel il se loge.  
27;Quel est le décalage horaire ?;Il y a 7 heures de décalage horaire entre la France et Bali. En effet Bali a 7 heures d'avance sur la France ex: 15h30 en France contre 22h30 à Bali. 
28;Où trouver des comparateurs d'hôtel ?;"Vous pouvez trouver des comparateurs d'hotel via des moteurs de recherche tel que google. Voici quelques exemple de comparateur :  https://www.booking.com/ ; https://www.trivago.fr/ "
29;Les animaux sont-ils autorisés dans les hôtels ? ;Les animaux sont autorisés dans certains hôtel. Voici une liste des hôtels acceptant les animaux : https://www.kayak.fr/Ubud-Hotels-Bali-Bohemia.2375637.ksp
30;Que faut-il faire pour prolonger mon séjour sur place? ;Pour pouvoir prolonger facilement votre séjour sur place, il vous faudra obtenir un visa de 30 jours payant qui est renouvelable une fois lorsque celui-ci arrive au bout. Votre visa touriste payant initial est valide 30 jours. Ensuite il faudra le renouveler au bureau d’immigration pour obtenir les 30 jours supplémentaires. Si vous prenez le visa 30 jour gratuit, vous serez obligé de sortir du territoire une fois les 30 jours écoulé et refaire les démarches pour un visa. Il est également possible de prendre un visa payant de 60 jours dès le départ qui pourra être prolongé jusqu'a 180 jours maximum. Cependant, sachez  que les justifications et démarches sont plus complexes à réaliser. Voici un site qui vous donnent des informations complémentaires : https://lebaliblog.com/visa-indonesie-bali-guide-complet-2016-visa-touriste-et-renouvellement/ .
31;Quelle est la personne à contacter en cas de problème durant mon séjour ? ;Si vous partez via un CE  ou une agence de voyage n'hésitez pas à les contacter en cas de problème. De même, votre assurance voyage est sensé couvrir un certain nombre de cas critique. Vous pouvez composer le 119 si vous avez besoin d'une ambulance une fois sur place. Composez le 113 si vous avez besoin de pompier et le 110/112 (SMS 117) pour la police. Voici un site centralisant les différents numéro important : https://www.expat.com/fr/guide/asie/indonesie/11275-numeros-utiles-en-indonesie.html . Pour plus d'information sur les procédure en cas de problème, vous pouvez consulter ce site officiel : https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/indonesie/
32;Quels médicaments puis-je prendre sans ordonnance à Bali ?;Pour la trousse à pharmacie, je te conseille de prendre : paracétamol, médicaments contre la diarrhée, talc et du coton hydrophile.
33;Quelle est la saison en Juin ?;De mai à septembre la saison est sèche. Il fait environ 32° avec de rares pluies.
34;Quels objets peuvent être utiles là-bas ?;N'oublie surtout pas ton appareil photo et ton maillot de bain. Un cadenas peut également s'avérer utile pour fermer ton sac à dos.
35;Quels objets ne pas autorisés dans l'avion ?;Les matières dangereuses (explosifs, produits radioactifs ou inflammables, produits toxiques, poison) sont interdits en cabine ou en soute. Les armes sont également interdites en cabine (objets tranchants, couteaux, ciseaux). Les outils de travail et les équipements sportifs sont également réglementés. Enfin les liquides et aérosols doivent tenir dans des contenants de 100ml et les médicaments doivent être munis d'une ordonance.
36;Quelles sont les dimensions maximales d'un bagage à main dans l'avion ?;Votre bagage cabine peut mesurer jusqu'à 55 x 35 x 25 cm maximum, poches, roues et poignées comprises. En supplément de votre bagage en cabine, vous pouvez emporter 1 accessoire personnel, dont les dimensions maximum sont de 40 x 30 x 15 cm. L'ensemble de votre bagage cabine et de votre accessoire peut peser jusqu'à 12 kg maximum.
37;Quelles sont les dimensions maximales des valises autorisées en soute dans l'avion ?;Votre bagage en soute peut mesurer jusqu'à 158 cm (a + b + c), poches, roues et poignées comprises. GRAPHIQUE
38;Quel est le poids max de mon bagage dans l'avion ?;Le poids maximal autorisé par bagage est de 23 kg en cabines et de 35 en soute
39;Quel est le prix d’un bagage supplémentaire en soute ?;Le prix dépend de votre destination, 40€ en France Métropolitaine, 75€ en Europe et Afrique du Nord, 100€ pour les DOM, 300€ pour le reste du monde.
40;Dois-je prendre de l'anti-moustique ?;Pour des nuits tranquilles je te conseille de prévoir de l'anti-moustique.
41;Comment faire pour trouver des billets d'avion ?;Je vous envoie le lien d'un comparateur de vol : https://www.kayak.fr/flights
42;Quel est le prix moyen du billet aller-retour France-Bali ?;Le prix moyen des vols aller-retours est d'environ 800€
43;Est-ce qu'il y a des vols directs ?;Il n’existe pas de vol direct pour Bali depuis la France. Vous ferez au minimum une escale à Shanghai, Singapour, Bangkok, ou Kuala Lumpur. Comptez en moyenne entre 17 et 25 heures de vol.
44;Quelle compagnie aérienne est recommandée ?;Pour trouver les meilleures compagnies aériennes pour réaliser votre vol entre Paris et Bali vous pouvez utiliser les sites suivants :  https://www.skyscanner.fr/vols-a/dps/compagnies-qui-proposent-des-vols-a-bali-(denpasar)-aeroport.html et https://www.kayak.fr/flights
45;A quelle heure je dois me présenter à l’aéroport pour avoir mon vol ?;Nous vous recommandons d'arriver au moins 2h avant le décollage pour les vols courts et moyens courriers et 3 heures pour les vols longs courriers afin d'avoir le temps d'effectuer sereinement les différentes opérations de police et de sûreté.
46;Comment être indemnisé si mon bagage a été perdu ou endommagé pendant le trajet en avion ?;Lorsque vous ne retrouvez pas votre bagage à la fin de votre vol, vous devez le signaler car il est peut etre perdu  ou a du retard. Si après 14 ou 21 jours d’attente rien n’a changé, alors votre bagage est officiellement déclaré perdu. Lorsque vous êtes victime de la perte d’un bagage, vous pouvez réclamer le remboursement des frais de première nécessité. De façon générale, vous trouverez sur votre billet d'avion la convention qui s'applique à votre vol. En cas de doute, vous pouvez contacter la compagnie aérienne pour en être sûr. Si la responsabilité de la compagnie aérienne est confirmée, vous pouvez obtenir votre indemnité pour perte de bagage. En cas de dommage, Votre bagage est dit abîmé ou endommagé lorsque vous ne le retrouvez pas dans son état initial. Il peut aussi s’agir d’une modification ou disparition d’un élément contenu dans le bagage. Si vous vous retrouvez dans l’une de ces situations, vous êtes en droit d’effectuer une réclamation bagage abîmé. Vous devez donc vous rapprocher de la compagnie aérienne qui a effectué le vol. Pour plus d'information sur les démarches a suivre voici un site : https://www.indemniflight.com/blog/bagage-perdu-retarde-abime-demarches-indemnisations/
47;Puis-je voyager en avion avec mes animaux ? ;Oui, généralement les animaux sont acceptés dans les vols cependant certaines conditions devront être respectées et cela entrainera des frais supplémentaires, de plus tous les animaux et toutes les races ne sont pas forcément autorisées dans l'avion et pour toutes les destinations. Il faut savoir que les chats et les chiens de plus de 8 kg et 75 kg maximum doivent obligatoirement voyager en soute. Le transport en soute est limité à 3 animaux maximum par passager. Veuillez noter que ce nombre peut être restreint selon le type d'avion. Pour plus d'information consultez la compagnie aérienne avec laquelle vous effectuerez votre vol afin d'avoir toutes les informations nécessaires. ex : airfrance : https://www.airfrance.fr/FR/fr/common/voyage-en-avion/preparation-voyage/animaux-avion.htm
48;Quels sont les frais supplémentaire pour voyager avec mon animal ? ;il y a des frais supplémentaires qui varient en fonction des points suivants : s'il est en soute ou en cabine et de la destinations du vols. Pour plus d'informations veuillez consulter le site de la compagnie aérienne concernées, exemple :  airfrance : https://www.airfrance.fr/FR/fr/common/voyage-en-avion/preparation-voyage/animaux-avion.htm
49;Comment savoir si mon vol a été modifié ? ;Si des changements s'appliquent à votre vol, soyez assuré(e) que votre compagnie aérienne vous en informera par téléphone, SMS ou e-mail. En cas de modification du vol, nous vous proposerons des solutions alternatives. Veuillez noter que vous pouvez demander à être averti(e) de toute éventuelle modification par leur centre d'appels. En outre, vous pouvez vous tenir informé(e) en consultant la page du statut des vols sur leur sites internet ou leur application mobile.
50;Sous quel format vais-je recevoir mon billet ? ;Vous allez recevoir votre billet par email dès que vous aurez réglé votre billet. Si vous souhaitez recevoir votre billet sous le format papier ou aller directement le retirer en borne ou au guichet, il va falloir en faire la demande lors de votre paiement. 
51;Aura-t-on un médecin dans l'avion ? ;La réponse est non, Il n’y pas d’obligation d’embarquer du personnel soignant à bord d’un vol et ce, qu’il soit, court, moyen ou long-courrier. En revanche, les personnels de cabine et les pilotes qui volent en Europe ont obligatoirement une formation de secouriste. Depuis juillet 2008, un règlement européen impose aux PNC (personnels navigants commerciaux) d’être titulaires du CFS, Certificat de Formation à la Sécurité. Ils sont formés pour pouvoir prodiguer les gestes de premiers secours. 
52;Est-il possible d'avoir des plats différents en fonction de mes allergies ? ;Oui, vous pouvez commander un repas spécial si votre vol dure plus de 2 h 30. Il vous suffit d'en faire la demande lors de votre réservation ou au plus tard 48 h avant votre vol. À noter : selon les destinations, il est possible que certains repas ne soient pas disponibles.
53;Est-ce que quelqu'un va venir me chercher à l'aéroport ?;Cela va dépendre des services que vous avez pris en option et du type de voyage. Si vous dépendez d'un voyage organisé et que celui-ci comporte cette option alors quelqu'un ou un moyen de transport (navette, taxi…) sera disponible à votre arrivée sur place. Certains hôtel propose également ce service dans leur prestations, il vous faudra néanmoins vous assurez auprès d'eux en avance que cela fait partie de votre forfait. 
54;Les hôtels fournissent ils un moyen de transport entre l'aéroport et  l'hotel ?;Oui, certains hôtels fournissent un moyen de transport entre l'aéroport et l'hôtel. Il faudra juste vous assurez en amont que cela fait partie des prestations et services dans votre forfait.
55;Combien coûte un taxi pour aller à l'aéroport ?;
56;Quelles sont les langues les plus parlées là-bas ?;La langue officielle est le Bahasa Indonesia, aussi appelé indonésien. Le balinais est également une autre langue parlée par ses habitants. Aussi, de nombreux Balinais parlent anglais, surtout dans les hôtels, les magasins et les restaurants.
57;Quelles sont les activités recommandées à faire à Bali?? ;Les randonnées et les sports nautiques sont de superbes activités à faire à Bali. Vous pourrez visiter les temples d'Uluwatu, de Tanah Lot ou le lac Bratan. Vous pouvez également vous approchez des rizières  ou randonnez sur le volcan Batur. Le surf et la plongée sont également de activités incontournables à faire à Bali et si vous êtes chanceux, vous pourrez même observer des dauphins. Puisque vous partez en Juin, vous pourrez également admirer le festival des arts de Bali ! Pour plus d'infos : https://generationvoyage.fr/visiter-bali-faire-voir/
58;Est-ce qu'il y a des comportements éviter ?;Les balinais n'acceptent pas les témoignages d'affections en public, même s'il sagit de la personne qui partage votre vie. Eviter les embrassades en publique. La main gauche est considérée comme impure, ne donnez rien aux habitants avec cette main. La tête est le siège de l'âme dans leur croyance, il est donc interdit de toucher la tête de quelqu'un. SI vous visiter un temple, demandez l'autorisation et enlever vos chaussures.
59;Quels types d’hébergement atypiques puis-je trouver sur place et louer ?;De nombreuses villas atypiques sont disponibles pour des nuits paisibles dans la jungle ou en bords de mers. Vous pourrez aussi tenter des nuits dans une cabane dans les arbres, dans une ancienne grange à riz ou encore dans un igloo gonflable !
60;Quels sont les plats typiques de Bali ?;Ne pensez pas à coter du bœuf Rendang, des brochettes Sate Ayam et Gule ou du Ayam Betutu, plat typique balinais à base de poulet. Le Nasi Goreng, l'originale recette de riz frit saura vous divertir. L'Ikan Bakar sera préféré pour les amateurs de poissons.
61;Est-ce qu’il faut réserver les activités à l’avance ?;Il n'est pas nécessaire de réserver les actvités à l'avance sauf si : - vous souhaitez voyager avec un guide français (pas besoin si vous cherchez un guide anglais) - Si vous souhiatez réaliser les excursions Bromo et Ijien sur Java
62;Puis-je amener mes animaux de compagnie dans les lieux culturels ?;Il n'est pas récommandé de voyager avec ses animaux domestiques à Bali. De nombreuses maladies dont la rage sont présentes chez beaucoup d'animaux. 
63;Quel est le budget moyen par activité ?;Le budget moyen d'une activité est de 50€ par personne. L'entrée des parcs et temples est inférieure à 5€.
64;Quelles sont  les activités proposées dans l'hotel ?;Une piscine est disponible dans votre hotel
65;Les repas sont-ils inclus dans le forfait de l’hôtel ?;Les repas sont inclus dans votre forfait
66;Quels sont les endroits incourtounables de Bali ? ;Le Mont Agung et le temple Besakih sont situé à l'Est de l'île. Le mont Agung est un volcan, c'est le point le plus haut de l'île. Conseillé aux sportifs. Si vous préférez un cadre plus tranquille, le village de pecheur Amed saura vous offrir un cadre magnifique.
67;Quelles sont les évènement / fêtes culturelles ?;Puisque vous partez vers juin, vous aurez de grandes chances de découvrir le festival d’arts balinais, un événement connu mondialement pour ses représentations culturelles quotidiennes, expositions d’artisanat et bien d’autres activités artistiques.
68;Faut-il un permis particulier pour louer un deux roues à Bali ?;En Indonésie, le permis voiture ne te permet pas de conduire un scooter de moins de 125m^3, il faut obligatoirement un permis international avec le tampon de votre permis moto.
69;Il y a-t-il des lieux de rencontres pour des étrangers ?;Il est conseillé de co-organisé votre voyage avec des personnes sur les forums de voyageurs en ligne plutôt que de les rencontrer la bas 
70;Quels sont les sports nautiques populaires ?;Le surf et la plongée sont 2 activités nautiques abordables à Bali. Vous pouvez également découvrir de nouvelles sensations avec le fly board !
